Recency,Frequency,Monetary,Coupon_Ratio,Tenure_Months,Avg_Order_Value,Purchase_Interval,Orders_last_30d,Spend_last_30d,Active_30d,Cluster
54,31,8053.97,0.2857142857142857,33,259.80548387096775,32.40387096774194,0.0,0.0,0,5
308,30,6779.37,0.5,34,225.979,34.498666666666665,0.0,0.0,0,0
260,32,7933.4,0.4,37,247.91875,35.19625,0.0,0.0,0,0
41,37,10721.99,0.2727272727272727,27,289.7835135135135,22.21297297297297,0.0,0.0,0,6
284,2,587.16,0.2857142857142857,21,293.58,319.62,0.0,0.0,0,0
266,55,17779.06,0.3197278911564626,32,323.2556363636364,17.710545454545457,0.0,0.0,0,6
289,2,94.76,0.25,21,47.38,319.62,0.0,0.0,0,0
227,4,1364.03,0.25,24,341.0075,182.64,0.0,0.0,0,0
16,8,891.36,0.6,39,111.42,148.395,4.0,419.72,1,3
225,1,69.72,0.5,33,69.72,1004.52,0.0,0.0,0,3
172,1,13.2,0.0,16,13.2,487.04,0.0,0.0,0,1
257,3,236.98,0.3333333333333333,48,78.99333333333333,487.04,0.0,0.0,0,0
180,7,1189.48,0.2,29,169.9257142857143,126.10857142857142,0.0,0.0,0,0
43,21,6062.35,0.28,42,288.68333333333334,60.88,0.0,0.0,0,5
12,9,963.29,0.3076923076923077,6,107.03222222222222,20.293333333333337,1.0,140.32,1,1
66,5,891.88,0.1428571428571428,44,178.376,267.872,0.0,0.0,0,1
208,4,336.92,0.4285714285714285,2,84.23,15.22,0.0,0.0,0,0
167,6,1071.38,0.1428571428571428,39,178.56333333333336,197.86,0.0,0.0,0,1
356,9,2356.9,0.4166666666666667,21,261.8777777777778,71.02666666666667,0.0,0.0,0,0
41,32,5909.39,0.3181818181818182,14,184.6684375,13.3175,0.0,0.0,0,5
119,18,3640.37,0.3103448275862069,32,202.24277777777775,54.11555555555556,0.0,0.0,0,1
77,3,546.8100000000001,0.125,24,182.27,243.52,0.0,0.0,0,1
124,21,3042.67,0.2727272727272727,25,144.88904761904763,36.23809523809524,0.0,0.0,0,1
215,28,5035.07,0.4266666666666667,30,179.82392857142855,32.614285714285714,0.0,0.0,0,0
124,1,149.42,0.5,37,149.42,1126.28,0.0,0.0,0,3
143,28,4703.18,0.3409090909090909,22,167.9707142857143,23.91714285714286,0.0,0.0,0,5
137,4,629.03,0.5555555555555556,10,157.2575,76.10000000000001,0.0,0.0,0,3
127,5,689.04,0.2222222222222222,34,137.808,206.992,0.0,0.0,0,1
286,8,1207.69,0.3846153846153846,37,150.96125,140.785,0.0,0.0,0,0
214,42,7752.51,0.3733333333333333,40,184.58357142857145,28.990476190476198,0.0,0.0,0,5
348,3,561.89,0.0,45,187.29666666666665,456.6,0.0,0.0,0,0
96,41,7574.16,0.240506329113924,8,184.73560975609757,5.939512195121951,0.0,0.0,0,5
40,34,6673.76,0.352112676056338,44,196.2870588235294,39.39294117647059,0.0,0.0,0,5
19,6,2661.48,0.3809523809523809,15,443.58,76.10000000000001,6.0,2661.48,1,1
70,20,4047.05,0.2830188679245283,37,202.3525,56.314,0.0,0.0,0,5
20,2,231.89,1.0,19,115.945,289.18,2.0,231.89,1,3
220,7,1990.91,0.2666666666666666,40,284.4157142857143,173.94285714285715,0.0,0.0,0,0
293,22,3836.14,0.2352941176470588,34,174.37,47.04363636363637,0.0,0.0,0,0
201,6,1595.82,0.4090909090909091,41,265.97,208.00666666666663,0.0,0.0,0,0
5,22,3621.27,0.4390243902439024,37,164.6031818181818,51.194545454545455,6.0,1921.41,1,5
59,8,1672.01,0.4166666666666667,31,209.00125,117.955,0.0,0.0,0,1
118,1,8.09,0.0,4,8.09,121.76,0.0,0.0,0,1
15,45,7826.79,0.2,49,173.92866666666666,33.14577777777778,45.0,7826.79,1,5
118,10,812.72,0.0714285714285714,40,81.272,121.76000000000002,0.0,0.0,0,1
12,76,12528.78,0.3355704697986577,22,164.85236842105263,8.811578947368423,25.0,3908.7,1,6
88,6,577.06,0.6,6,96.17666666666666,30.44,0.0,0.0,0,3
230,21,2919.67,0.2830188679245283,39,139.03190476190477,56.53142857142858,0.0,0.0,0,0
208,4,448.13,0.5,47,112.0325,357.67,0.0,0.0,0,3
349,3,909.83,0.6666666666666666,33,303.2766666666667,334.84000000000003,0.0,0.0,0,3
243,22,2084.51,0.282051282051282,46,94.75045454545456,63.64727272727273,0.0,0.0,0,0
131,3,697.81,0.125,41,232.60333333333327,416.0133333333333,0.0,0.0,0,1
176,43,3409.85,0.2714285714285714,6,79.29883720930232,4.247441860465116,0.0,0.0,0,5
345,14,2267.58,0.1904761904761904,34,161.97,73.92571428571429,0.0,0.0,0,0
173,8,1102.91,0.6666666666666666,20,137.86375,76.10000000000001,0.0,0.0,0,3
152,12,1150.86,0.25,38,95.905,96.39333333333332,0.0,0.0,0,1
25,27,4825.11,0.2407407407407407,35,178.70777777777778,39.45925925925926,1.0,21.17,1,5
222,20,5276.43,0.375,46,263.8215,70.012,0.0,0.0,0,0
44,51,8363.37,0.2875,29,163.98764705882354,17.309019607843137,0.0,0.0,0,6
63,67,13065.67,0.4126984126984127,2,195.01,0.9086567164179103,0.0,0.0,0,6
363,7,1342.71,0.4,39,191.81571428571428,169.59428571428572,0.0,0.0,0,0
87,3,969.7,0.1818181818181818,29,323.2333333333333,294.25333333333333,0.0,0.0,0,1
123,11,1506.04,0.5882352941176471,23,136.91272727272727,63.64727272727273,0.0,0.0,0,3
137,9,1325.52,0.6666666666666666,11,147.28,37.20444444444445,0.0,0.0,0,3
121,3,351.89,0.5833333333333334,34,117.29666666666668,344.9866666666667,0.0,0.0,0,3
336,6,1110.42,0.125,33,185.07,167.42000000000002,0.0,0.0,0,0
24,17,4885.18,0.391304347826087,18,287.3635294117647,32.23058823529412,17.0,4885.18,1,5
293,7,1022.97,0.25,40,146.13857142857142,173.94285714285715,0.0,0.0,0,0
79,13,1122.03,0.2,32,86.31,74.92923076923077,0.0,0.0,0,1
145,6,1013.73,0.2857142857142857,47,168.955,238.4466666666667,0.0,0.0,0,1
189,9,1771.94,0.3,41,196.88222222222225,138.67111111111112,0.0,0.0,0,0
56,15,5509.07,0.4516129032258064,10,367.2713333333333,20.293333333333337,0.0,0.0,0,5
5,2,175.57999999999998,0.0,14,87.78999999999999,213.08,2.0,175.57999999999998,1,1
24,28,3482.45,0.35,18,124.37321428571428,19.56857142857143,17.0,1932.04,1,5
25,22,5726.97,0.2666666666666666,20,260.3168181818182,27.67272727272728,15.0,3058.11,1,5
342,5,887.19,0.1666666666666666,13,177.43800000000002,79.144,0.0,0.0,0,0
323,23,2658.46,0.2571428571428571,37,115.58521739130435,48.96869565217391,0.0,0.0,0,0
87,23,4246.56,0.3823529411764705,32,184.63304347826087,42.35130434782609,0.0,0.0,0,5
115,10,833.7099999999999,0.0526315789473684,31,83.371,94.364,0.0,0.0,0,1
222,8,2898.88,0.5384615384615384,16,362.36,60.88,0.0,0.0,0,3
178,9,1217.46,0.2941176470588235,11,135.27333333333334,37.20444444444445,0.0,0.0,0,0
